Reference,Verse
D&C 8:2-3,""
D&C 10:5,""
D&C 14:7,""
D&C 18:10, 15-16,""
D&C 19:16-19,""
D&C 25:12,""
D&C 58:26-27,""
D&C 58:42-43,""
D&C 59:9-10,""
D&C 64:9-11,""
D&C 64:23,""
D&C 76:22-24,""
D&C 82:3,""
D&C 82:10,""
D&C 84:33-39,""
D&C 88:123-24,""
D&C 89:18-21,""
D&C 121:34-36,""
D&C 130:18-19,""
D&C 130:20-21,""
D&C 130:22-23,""
D&C 131:1-4,""
D&C 137:7-10,""
